feature,source_dataset,n_present,n_imputed,imputation
pd_speech_app_LT_entropy_log_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_log_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_LT_entropy_shannon_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_TKEO_std_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_det_TKEO_mean_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_log_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_app_entropy_shannon_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_apq11Shimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_apq3Shimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_apq5Shimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_b1,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_b2,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_b3,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_b4,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_ddaShimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_ddpJitter,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_mean_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_TKEO_std_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_log_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_LT_entropy_shannon_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_mean_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_TKEO_std_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_log_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_10_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_1_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_2_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_3_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_4_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_5_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_6_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_7_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_8_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_det_entropy_shannon_9_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_f1,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_f2,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_f3,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_f4,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_gender,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_locAbsJitter,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_locDbShimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_locPctJitter,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_locShimmer,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_maxIntensity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_meanAutoCorrHarmonicity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_meanHarmToNoiseHarmonicity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_meanIntensity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_meanNoiseToHarmHarmonicity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_meanPeriodPulses,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_0th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_10th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_10th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_11th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_11th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_12th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_12th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_1st_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_1st_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_2nd_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_2nd_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_3rd_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_3rd_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_4th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_4th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_5th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_5th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_6th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_6th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_7th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_7th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_8th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_8th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_9th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_9th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_Log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_0th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_10th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_11th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_12th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_1st_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_2nd_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_3rd_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_4th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_5th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_6th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_7th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_8th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_MFCC_9th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_delta_delta_0th,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_delta_delta_log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_mean_delta_log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_minIntensity,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_numPeriodsPulses,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_numPulses,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_ppq5Jitter,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_rapJitter,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_stdDevPeriodPulses,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_0th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_10th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_10th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_11th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_11th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_12th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_12th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_1st_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_1st_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_2nd_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_2nd_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_3rd_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_3rd_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_4th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_4th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_5th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_5th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_6th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_6th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_7th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_7th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_8th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_8th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_9th_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_9th_delta_delta,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_Log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_0th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_10th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_11th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_12th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_1st_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_2nd_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_3rd_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_4th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_5th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_6th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_7th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_8th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_MFCC_9th_coef,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_delta_delta_0th,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_delta_delta_log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_std_delta_log_energy,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_tqwt_TKEO_mean_dec_1,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_tqwt_TKEO_mean_dec_10,Sakar2019 (PD Classification),756,240,train-fold median
pd_speech_tqwt_TKEO_mean_dec_11,Sakar2019 (PD Classification),756,240,train-fold median
